run_id,eta3,n,i,j,trial_id,num_contexts,kappa_ctx_R_trial,kappa_ctx_circ_var_trial,kappa_ctx_circ_mean_trial,amp_min_mean_ctx_trial,amp_min_q10_ctx_trial,shots_per_setting
20260111_162814,0.1,2,0,1,2,1,1,1.11E-16,1.031362157,0.994999782,0.994999782,2048
20260111_162814,0.1,2,0,1,3,1,1,1.11E-16,0.985669456,0.997261589,0.997261589,2048
20260111_162814,0.1,2,0,1,4,1,1,-2.22E-16,0.987603571,1.005584857,1.005584857,2048
20260111_162814,0.1,2,0,1,5,1,1,0,1.026336375,0.984299914,0.984299914,2048
20260111_162814,0.1,2,0,1,6,1,1,0,0.969830744,0.985026795,0.985026795,2048
20260111_162814,0.1,2,0,1,7,1,1,1.11E-16,1.043837254,1.006477832,1.006477832,2048
20260111_162814,0.1,2,0,1,8,1,1,1.11E-16,0.975956003,0.982316059,0.982316059,2048
20260111_162814,0.1,2,0,1,9,1,1,0,1.016023745,0.99609375,0.99609375,2048
20260111_162814,0.1,2,0,1,10,1,1,0,0.97798804,0.983088546,0.983088546,2048
20260111_162814,0.1,2,0,1,11,1,1,0,0.984476747,0.981899479,0.981899479,2048
20260111_162814,0.1,2,0,1,12,1,1,0,0.949501132,0.999334591,0.999334591,2048
20260111_162814,0.1,2,0,1,13,1,1,1.11E-16,1.025117,0.989622149,0.989622149,2048
20260111_162814,0.1,2,0,1,14,1,1,0,0.961732006,0.978477127,0.978477127,2048
20260111_162814,0.1,2,0,1,15,1,1,1.11E-16,1.014880801,0.991965442,0.991965442,2048
20260111_162814,0.1,2,0,1,16,1,1,0,0.998231047,1.006934441,1.006934441,2048
20260111_162814,0.1,2,0,1,17,1,1,1.11E-16,0.992862757,0.996829251,0.996829251,2048
20260111_162814,0.1,2,0,1,18,1,1,1.11E-16,1.032980855,0.987922694,0.987922694,2048
20260111_162814,0.1,2,0,1,19,1,1,0,0.99418755,1.002370409,1.002370409,2048
20260111_162804,0.1,3,0,1,0,2,0.999999631,3.69E-07,0.984521759,0.988579049,0.983155358,2048
20260111_162804,0.1,3,0,1,1,2,0.998370116,0.001629884,1.018785414,0.986347484,0.980555905,2048
20260111_162804,0.1,3,0,1,2,2,0.999018883,0.000981117,1.020572284,0.990639501,0.984766349,2048
20260111_162804,0.1,3,0,1,3,2,0.999795719,0.000204281,1.000519861,0.998116692,0.997644879,2048
20260111_162804,0.1,3,0,1,4,2,0.999850065,0.000149935,1.00433836,1.007701019,1.005343571,2048
20260111_162804,0.1,3,0,1,5,2,0.998931692,0.001068308,1.015551277,0.990070554,0.986391753,2048
20260111_162804,0.1,3,0,1,6,2,0.999685585,0.000314415,0.990852829,0.990615062,0.986460009,2048
20260111_162804,0.1,3,0,1,7,2,0.99889219,0.00110781,1.031663708,0.990783437,0.982856104,2048
20260111_162804,0.1,3,0,1,8,2,0.999992204,7.80E-06,1.014629922,0.997787706,0.987801625,2048
20260111_162804,0.1,3,0,1,9,2,0.999007061,0.000992939,1.009864192,1.000966267,0.999381837,2048
20260111_162804,0.1,3,0,1,10,2,0.999992603,7.40E-06,1.020153117,0.983371905,0.981970544,2048
20260111_162804,0.1,3,0,1,11,2,0.99898609,0.00101391,0.981539072,0.98815284,0.981752243,2048
20260111_162804,0.1,3,0,1,12,2,0.999960588,3.94E-05,0.982480749,0.994469895,0.990772077,2048
20260111_162804,0.1,3,0,1,13,2,0.999357084,0.000642916,1.029993313,0.98818354,0.984603293,2048
20260111_162804,0.1,3,0,1,14,2,0.999673843,0.000326157,0.965503809,0.980256195,0.978692578,2048
20260111_162804,0.1,3,0,1,15,2,0.998660899,0.001339101,0.994435741,0.984438083,0.979511409,2048
20260111_162804,0.1,3,0,1,16,2,0.999012557,0.000987443,0.989204045,1.001236592,0.996846535,2048
20260111_162804,0.1,3,0,1,17,2,0.999259293,0.000740707,0.989134329,0.999966564,0.995271277,2048
20260111_162804,0.1,3,0,1,18,2,0.999169485,0.000830515,1.022539899,0.978926577,0.971113654,2048
20260111_162804,0.1,3,0,1,19,2,0.998511426,0.001488574,0.981419928,1.000122847,0.995926242,2048
20260111_162739,0.1,4,0,1,0,4,0.999421642,0.000578358,1.004537418,0.99563356,0.989714139,2048
20260111_162739,0.1,4,0,1,1,4,0.9968757,0.0031243,1.007876512,0.997357316,0.994095447,2048
20260111_162739,0.1,4,0,1,2,4,0.997694314,0.002305686,0.996344333,0.998110589,0.99470199,2048
20260111_162739,0.1,4,0,1,3,4,0.99844954,0.00155046,0.984916693,0.998539944,0.996528049,2048
20260111_162739,0.1,4,0,1,4,4,0.997415381,0.002584619,1.002317831,0.991722819,0.98239243,2048
20260111_162739,0.1,4,0,1,5,4,0.99853922,0.00146078,1.024916973,0.99800401,0.994751404,2048
20260111_162739,0.1,4,0,1,6,4,0.998551494,0.001448506,1.006040344,0.995273222,0.989612105,2048
20260111_162739,0.1,4,0,1,7,4,0.998316932,0.001683068,1.021155713,0.988833227,0.981636265,2048
20260111_162739,0.1,4,0,1,8,4,0.997266888,0.002733112,0.978798258,0.997265876,0.99102873,2048
